original_index,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
8,9.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,148.0,16.7,38.2,1.44
9,10.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,128.0,9.4,13.5,1.45
10,11.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,108.0,50.6,16.0,0.97
11,12.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,88.0,46.8,18.9,1.07
12,13.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,68.0,50.9,8.9,1.47
13,14.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,48.0,41.4,17.2,1.11
14,15.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,28.0,21.6,17.9,1.38
15,16.0,1.0,2.0,28.94261892087699,-95.29693614627733,-80.0,8.0,82.5,20.1,1.1
17,18.0,1.0,3.0,29.39739502253067,-94.69324582574274,-80.0,128.0,22.1,26.7,1.63
18,19.0,1.0,3.0,29.39739502253067,-94.69324582574274,-80.0,108.0,30.3,9.4,1.46
19,20.0,1.0,3.0,29.39739502253067,-94.69324582574274,-80.0,88.0,18.9,31.9,1.5
22,23.0,1.0,3.0,29.39739502253067,-94.69324582574274,-80.0,28.0,16.6,8.6,1.52
23,24.0,1.0,3.0,29.39739502253067,-94.69324582574274,-80.0,8.0,104.9,22.7,0.67
24,25.0,1.0,4.0,29.2175197493385,-90.01689826914148,-80.0,148.0,11.2,20.1,1.65
27,28.0,1.0,4.0,29.2175197493385,-90.01689826914148,-80.0,88.0,78.3,12.4,1.02
28,29.0,1.0,4.0,29.2175197493385,-90.01689826914148,-80.0,68.0,49.1,32.4,1.48
29,30.0,1.0,4.0,29.2175197493385,-90.01689826914148,-80.0,48.0,21.1,15.9,1.62
30,31.0,1.0,4.0,29.2175197493385,-90.01689826914148,-80.0,28.0,94.8,21.8,0.82
31,32.0,1.0,4.0,29.2175197493385,-90.01689826914148,-80.0,8.0,66.5,9.6,1.21
33,34.0,1.0,5.0,29.673554873852307,-89.41896392017266,-80.0,128.0,29.0,33.5,1.43
34,35.0,1.0,5.0,29.673554873852307,-89.41896392017266,-80.0,108.0,33.2,21.2,1.35
35,36.0,1.0,5.0,29.673554873852307,-89.41896392017266,-80.0,88.0,21.8,15.8,1.39
36,37.0,1.0,5.0,29.673554873852307,-89.41896392017266,-80.0,68.0,91.9,17.3,1.05
38,39.0,1.0,5.0,29.673554873852307,-89.41896392017266,-80.0,28.0,35.2,8.3,1.36
39,40.0,1.0,5.0,29.673554873852307,-89.41896392017266,-80.0,8.0,61.8,24.4,1.07
40,41.0,1.0,6.0,30.17818909512369,-89.15954441655389,-80.0,148.0,16.3,11.7,1.6
42,43.0,1.0,6.0,30.17818909512369,-89.15954441655389,-80.0,108.0,53.7,24.5,0.93
43,44.0,1.0,6.0,30.17818909512369,-89.15954441655389,-80.0,88.0,64.5,14.8,0.99
44,45.0,1.0,6.0,30.17818909512369,-89.15954441655389,-80.0,68.0,32.6,11.4,1.21
45,46.0,1.0,6.0,30.17818909512369,-89.15954441655389,-80.0,48.0,43.1,31.5,1.28
47,48.0,1.0,6.0,30.17818909512369,-89.15954441655389,-80.0,8.0,115.6,14.3,0.72
54,55.0,1.0,7.0,29.02495087445601,-95.1897935348654,-60.0,18.0,60.4,8.8,0.94
58,59.0,1.0,8.0,29.381491636569713,-94.70323033875509,-60.0,78.0,41.4,19.5,1.14
65,66.0,1.0,9.0,29.668516393943207,-94.05705557666181,-60.0,78.0,82.2,14.9,1.32
69,70.0,1.0,10.0,29.719171111971683,-92.97801342492971,-60.0,138.0,24.8,9.9,1.31
70,71.0,1.0,10.0,29.719171111971683,-92.97801342492971,-60.0,118.0,21.8,32.5,1.42
71,72.0,1.0,10.0,29.719171111971683,-92.97801342492971,-60.0,98.0,18.0,17.8,1.35
72,73.0,1.0,10.0,29.719171111971683,-92.97801342492971,-60.0,78.0,28.6,9.0,1.39
73,74.0,1.0,10.0,29.719171111971683,-92.97801342492971,-60.0,58.0,50.0,10.7,1.44
74,75.0,1.0,10.0,29.719171111971683,-92.97801342492971,-60.0,38.0,83.0,18.1,1.17
75,76.0,1.0,10.0,29.719171111971683,-92.97801342492971,-60.0,18.0,20.7,11.2,1.26
76,77.0,1.0,11.0,29.05386872660006,-90.44097904253621,-60.0,138.0,20.7,25.1,1.49
77,78.0,1.0,11.0,29.05386872660006,-90.44097904253621,-60.0,118.0,24.5,17.0,1.65
78,79.0,1.0,11.0,29.05386872660006,-90.44097904253621,-60.0,98.0,38.4,26.8,1.58
79,80.0,1.0,11.0,29.05386872660006,-90.44097904253621,-60.0,78.0,88.9,17.3,1.26
80,81.0,1.0,11.0,29.05386872660006,-90.44097904253621,-60.0,58.0,22.6,17.8,1.39
81,82.0,1.0,11.0,29.05386872660006,-90.44097904253621,-60.0,38.0,53.4,11.4,1.05
82,83.0,1.0,11.0,29.05386872660006,-90.44097904253621,-60.0,18.0,87.1,27.8,0.75
85,86.0,1.0,12.0,29.340473943363833,-89.79516326488191,-60.0,98.0,26.7,23.1,1.54
86,87.0,1.0,12.0,29.340473943363833,-89.79516326488191,-60.0,78.0,77.2,16.8,1.24
